encoder,dataset,1-NN,1-NN-std,SVM,SVM-std,RIDGE,RIDGE-std,1-LP,1-LP-std,concatenate-supervised-1-LP,concatenate-supervised-1-LP-std
fcn,Adiac,0.638363171355499,0.045365970841211,0.752941176470588,0.02024179942446,0.602557544757033,0.11876043830182,0.21227621483376,0.099619569269853,0.843478260869565,0.004400166377004
fcn,ArrowHead,0.692571428571428,0.027380910973054,0.756571428571428,0.024135670950792,0.630857142857143,0.090032193788485,0.464,0.027380910973054,0.833142857142857,0.017482352618033
fcn,Beef,0.42,0.033993463423952,0.606666666666667,0.048989794855664,0.486666666666667,0.065319726474218,0.493333333333333,0.013333333333333,0.68,0.016329931618555
fcn,BeetleFly,0.73,0.024494897427832,0.64,0.073484692283495,0.74,0.02,0.68,0.024494897427832,0.88,0.04
fcn,BirdChicken,0.8,0.109544511501033,0.71,0.066332495807108,0.69,0.058309518948453,0.66,0.124096736459909,0.97,0.024494897427832
fcn,Car,0.486666666666667,0.024494897427832,0.53,0.016329931618555,0.496666666666667,0.032317865716109,0.386666666666667,0.024494897427832,0.906666666666667,0.013333333333333
fcn,CBF,0.993333333333333,0.002897423291201,0.992888888888889,0.002177324215807,0.980666666666667,0.004693047129321,0.987777777777778,0.002330686329267,0.994,0.000544331053952
fcn,ChlorineConcentration,0.565729166666667,0.007749047880582,0.76640625,0.008492937731989,0.587604166666667,0.010673398754484,0.569375,0.00565913638754,0.823541666666667,0.003906597206791
fcn,CinCECGTorso,0.546521739130435,0.008405797101449,0.53768115942029,0.042799042442869,0.374202898550725,0.031621448164766,0.402028985507246,0.017205529510791,0.827391304347826,0.007823402652908
fcn,Coffee,0.921428571428571,0.061445180478876,0.957142857142857,0.034992710611188,0.985714285714286,0.017496355305594,0.642857142857143,0.165985000551746,1,0
fcn,Computers,0.7488,0.029109448637857,0.7888,0.029545896500191,0.7816,0.019365949499056,0.7696,0.031045772659092,0.8088,0.010244998779893
fcn,CricketX,0.732820512820513,0.004102564102564,0.745128205128205,0.012727870406145,0.711282051282051,0.004755701792562,0.7,0.006880209161538,0.782051282051282,0.008733018649193
fcn,CricketY,0.697948717948718,0.004102564102564,0.73025641025641,0.014450259285749,0.694358974358974,0.008488689926793,0.641025641025641,0.010998774661296,0.78,0.009648660370373
fcn,CricketZ,0.730769230769231,0.016297690853406,0.749230769230769,0.006363935203072,0.734358974358974,0.01372214170283,0.728205128205128,0.010634072488886,0.805641025641025,0.008642204895565
fcn,DiatomSizeReduction,0.820915032679739,0.041819851694239,0.829411764705882,0.032574995540855,0.835947712418301,0.037455029495149,0.390196078431373,0.025279842621979,0.950980392156863,0.022164477069037
fcn,DistalPhalanxOutlineAgeGroup,0.700719424460432,0.016779717683008,0.738129496402878,0.005755395683453,0.751079136690648,0.007336718724594,0.771223021582734,0.01726618705036,0.702158273381295,0.018538271549245
fcn,DistalPhalanxOutlineCorrect,0.726086956521739,0.01646060390087,0.769565217391304,0.008755830415648,0.751449275362319,0.010893693027807,0.75,0.01636462288498,0.76231884057971,0.013083673974832
fcn,DistalPhalanxTW,0.661870503597122,0.024076547526161,0.677697841726619,0.013950157863069,0.679136690647482,0.0161510390796,0.679136690647482,0.013343335964742,0.692086330935252,0.013950157863069
fcn,Earthquakes,0.722302158273381,0.02163064227104,0.748201438848921,0,0.748201438848921,0,0.748201438848921,0,0.725179856115108,0.007048891346139
fcn,ECG200,0.8,0.01897366596101,0.844,0.028705400188815,0.852,0.033704599092706,0.822,0.020396078054371,0.89,0.010954451150103
fcn,ECG5000,0.919377777777778,0.001027041778515,0.937422222222222,0.00355722183178,0.942088888888889,0.000457583561822,0.935777777777778,0.003945305070431,0.940177777777778,0.001170839099762
fcn,ECGFiveDays,0.894308943089431,0.029142661254471,0.936585365853659,0.010984056137084,0.982113821138211,0.012083444184567,0.829036004645761,0.036745588726198,0.987456445993031,0.00306408965349
fcn,ElectricDevices,0.645337829075347,0.004759558250043,0.706886266372714,0.009143068155528,0.655531059525353,0.007439617352477,0.676773440539489,0.011992758279055,0.686188561794839,0.008957610712691
fcn,FaceAll,0.77905325443787,0.012994061284081,0.840828402366864,0.015766760466833,0.887218934911243,0.026503592034715,0.845325443786982,0.018825869458719,0.926390532544379,0.012375778899315
fcn,FaceFour,0.686363636363636,0.062901602286809,0.715909090909091,0.088607221316445,0.868181818181818,0.013636363636364,0.720454545454545,0.06038786479812,0.927272727272727,0.005567022142689
fcn,FacesUCR,0.77190243902439,0.007073002521129,0.818048780487805,0.008957564043815,0.895121951219512,0.00502225860536,0.794341463414634,0.014310569013314,0.940390243902439,0.002337394839163
fcn,FiftyWords,0.407032967032967,0.012069916674942,0.521758241758242,0.019190224134456,0.440439560439561,0.024418363801901,0.450989010989011,0.015750745377731,0.661978021978022,0.008152631644392
fcn,Fish,0.573714285714286,0.014724684259115,0.694857142857143,0.026459055777806,0.688,0.068437965355794,0.336,0.066285714285714,0.957714285714286,0.006857142857143
fcn,FordA,0.889545454545454,0.003874761167438,0.926060606060606,0.001830764541454,0.909090909090909,0.004149413314433,0.916666666666667,0.001355192713636,0.947121212121212,0.00322837511404
fcn,FordB,0.754814814814815,0.00641975308642,0.802222222222222,0.003439108216589,0.775308641975309,0.005352958861402,0.788148148148148,0.006226923561935,0.853086419753086,0.007156235430217
fcn,GunPoint,0.893333333333333,0.020221001184138,0.974666666666667,0.006531972647422,0.978666666666667,0.008844332774281,0.690666666666667,0.09648028008067,1,0
fcn,Ham,0.56,0.033752466946037,0.575238095238095,0.032212446714834,0.668571428571428,0.039681269820952,0.662857142857143,0.04022611825132,0.704761904761905,0.014754222271266
fcn,HandOutlines,0.704864864864865,0.033774052652569,0.83027027027027,0.029969548704063,0.768108108108108,0.003151865889106,0.638918918918919,0.055219860709717,0.914054054054054,0.006257209136643
fcn,Haptics,0.328571428571429,0.028259811879207,0.388961038961039,0.012889242364467,0.376623376623377,0.014949174588599,0.299350649350649,0.031101116921631,0.496103896103896,0.006933167696124
fcn,Herring,0.459375,0.050967207594688,0.59375,0,0.59375,0,0.55625,0.075,0.65,0.0125
fcn,InlineSkate,0.297454545454545,0.019602664686463,0.287636363636364,0.010246547493531,0.205454545454545,0.021109709489018,0.201454545454545,0.008244206580912,0.334545454545455,0.012753220303091
fcn,InsectWingbeatSound,0.271818181818182,0.010047332121865,0.376262626262626,0.015039993617671,0.356363636363636,0.01058246533633,0.364949494949495,0.013870419308099,0.39,0.004325780425326
fcn,ItalyPowerDemand,0.947327502429543,0.006687910800422,0.935471331389699,0.012988948063443,0.960544217687075,0.004011616606521,0.951603498542274,0.003858004517255,0.96287657920311,0.002249919708997
fcn,LargeKitchenAppliances,0.754133333333333,0.015028269657179,0.850666666666667,0.017116593638273,0.7984,0.008860398787113,0.805866666666667,0.01858266814953,0.9024,0.003991101212559
fcn,Lightning2,0.721311475409836,0.027431476279806,0.731147540983607,0.019672131147541,0.727868852459016,0.036803187410891,0.662295081967213,0.016718096765878,0.734426229508197,0.012267729136964
fcn,Lightning7,0.443835616438356,0.041187113365405,0.564383561643836,0.03716345196233,0.715068493150685,0.048548068894985,0.619178082191781,0.013421861604291,0.813698630136986,0.02950775236786
fcn,Mallat,0.873091684434968,0.034127503089831,0.813219616204691,0.032795367321717,0.912068230277185,0.038427262429723,0.595053304904051,0.081712967796793,0.96588486140725,0.002669931913433
fcn,Meat,0.82,0.046427960923947,0.82,0.04136557881997,0.946666666666667,0.030550504633039,0.65,0.076011695006609,0.92,0.006666666666667
fcn,MedicalImages,0.711842105263158,0.007981974151633,0.767631578947368,0.003390552296507,0.755526315789474,0.005966202130924,0.698947368421053,0.003849668115349,0.776578947368421,0.007226068535656
fcn,MiddlePhalanxOutlineAgeGroup,0.505194805194805,0.013866335392249,0.64025974025974,0.009718590614997,0.649350649350649,0.016427416416459,0.609090909090909,0.045621215766884,0.546753246753247,0.009543466530324
fcn,MiddlePhalanxOutlineCorrect,0.705841924398626,0.025586955971115,0.813745704467354,0.011784486735039,0.809621993127148,0.007714757498503,0.762886597938144,0.006520160124059,0.796563573883162,0.007008961530712
fcn,MiddlePhalanxTW,0.483116883116883,0.006622103264406,0.553246753246753,0.025778484728934,0.566233766233766,0.013866335392249,0.567532467532468,0.017229219690158,0.502597402597403,0.0234486624484
fcn,MoteStrain,0.877955271565495,0.015961656225938,0.904952076677316,0.023121589179122,0.901277955271566,0.009880937440378,0.872843450479233,0.020132866139538,0.940894568690096,0.004009552842815
fcn,NonInvasiveFetalECGThorax1,0.730076335877863,0.01072620950855,0.878778625954199,0.005475410750662,0.851094147582697,0.003323120146018,0.783307888040712,0.025733532824943,0.955114503816794,0.000747935799323
fcn,NonInvasiveFetalECGThorax2,0.758269720101781,0.007189814966901,0.896081424936387,0.008401725835517,0.863918575063613,0.006974795602651,0.739643765903308,0.02895777152862,0.950229007633588,0.001968354158353
fcn,OliveOil,0.66,0.048989794855664,0.726666666666667,0.077172246018602,0.886666666666667,0.016329931618555,0.4,0,0.766666666666667,0.021081851067789
fcn,OSULeaf,0.743801652892562,0.016734261761419,0.865289256198347,0.012146230129503,0.884297520661157,0.022932953595887,0.775206611570248,0.015372789452676,0.976859504132231,0.007204791642216
fcn,PhalangesOutlinesCorrect,0.759207459207459,0.009627914418678,0.744755244755245,0.038844599463816,0.765268065268065,0.004010408049903,0.742890442890443,0.01114501919616,0.822610722610723,0.00462690751545
fcn,Phoneme,0.256540084388186,0.005666825324288,0.280801687763713,0.021943970902308,0.266877637130802,0.005591712354725,0.298417721518987,0.007696808585213,0.329852320675105,0.005991338321166
fcn,Plane,0.998095238095238,0.003809523809524,0.975238095238095,0.007619047619048,1,0,0.988571428571429,0.009331389496317,1,0
fcn,ProximalPhalanxOutlineAgeGroup,0.791219512195122,0.014271940330076,0.83609756097561,0.007925891126474,0.854634146341463,0.010863930464059,0.845853658536585,0.01734281837525,0.838048780487805,0.007169238271561
fcn,ProximalPhalanxOutlineCorrect,0.742955326460481,0.008528985323705,0.860481099656357,0.014185407175636,0.851546391752577,0.007955901651402,0.789690721649484,0.014963258458472,0.902405498281787,0.004661395177406
